Sample #,Brand,Parent company,Lead (ppm)
272,Clinique,Estee Lauder,0.58
273,Clinique,Estee Lauder,0.57
274,Mary Kay,Mary Kay,0.57
275,Avon,Avon,0.56
276,M.A.C,Estee Lauder,0.56
277,Avon,Avon,0.55
278,Maybelline,L'Oreal USA,0.55
279,Estee Lauder Prescriptives,Estee Lauder,0.54
280,Chanel,Chanel,0.53
281,M.A.C,Estee Lauder,0.53
282,Clarins,Clarins USA,0.52
283,Clinique,Estee Lauder,0.52
284,Lancome,L'Oreal USA,0.52
285,M.A.C,Estee Lauder,0.52
286,Maybelline,L'Oreal USA,0.52
287,Lancome,L'Oreal USA,0.51
288,Chanel,Chanel,0.5
289,Estee Lauder,Estee Lauder,0.5
290,Estee Lauder,Estee Lauder,0.5
291,Avon,Avon,0.49
292,Cover Girl Queen Collection,Procter & Gamble,0.49
293,BeneFit,LVMH Perfums & Cosmetics,0.48
294,Estee Lauder Prescriptives,Estee Lauder,0.48
295,Avon,Avon,0.47
296,Iman Cosmetics,Iman Cosmetics,0.47
297,Wet 'n' Wild,Markwins International,0.47
298,Clinique,Estee Lauder,0.46
299,Estee Lauder,Estee Lauder,0.45
300,M.A.C,Estee Lauder,0.45
301,Revlon,Revlon,0.44
302,Shiseido,Shiseido,0.44
303,Burt's Bees,Clorox Company,0.43
304,Clinique,Estee Lauder,0.43
305,Clinique,Estee Lauder,0.43
306,Lancome,L'Oreal USA,0.43
307,M.A.C,Estee Lauder,0.41
308,M.A.C,Estee Lauder,0.41
309,Bobbi Brown,Estee Lauder,0.4
310,Clinique,Estee Lauder,0.4
311,Cover Girl Queen Collection,Procter & Gamble,0.4
312,M.A.C,Estee Lauder,0.4
313,Clinique,Estee Lauder,0.39
314,Estee Lauder Origins,Estee Lauder,0.39
315,M.A.C,Estee Lauder,0.39
316,M.A.C,Estee Lauder,0.39
317,Maybelline,L'Oreal USA,0.39
318,Shiseido,Shiseido,0.39
319,Estee Lauder,Estee Lauder,0.38
320,Avon,Avon,0.37
321,M.A.C,Estee Lauder,0.37
322,M.A.C,Estee Lauder,0.37
323,Clarins,Clarins USA,0.35
324,Victoria's Secret,Limited Brands,0.35
325,Estee Lauder,Estee Lauder,0.33
326,Shiseido,Shiseido,0.32
327,Stargazer,Stargazer,0.32
328,Wet 'n' Wild,Markwins International,0.32
329,Clinique,Estee Lauder,0.31
330,Dior,LVMH Perfums & Cosmetics,0.31
331,M.A.C,Estee Lauder,0.31
332,Avon,Avon,0.3
333,L'Oreal,L'Oreal USA,0.3
334,M.A.C,Estee Lauder,0.3
335,Stargazer,Stargazer,0.3
336,Clinique,Estee Lauder,0.29
337,Lancome,L'Oreal USA,0.29
338,L'Oreal,L'Oreal USA,0.29
339,Mary Kay,Mary Kay,0.29
340,Cover Girl,Procter & Gamble,0.28
341,Maybelline,L'Oreal USA,0.28
342,Revlon,Revlon,0.28
343,Clinique,Estee Lauder,0.27
344,Lancome,L'Oreal USA,0.27
345,M.A.C,Estee Lauder,0.27
346,Lancome,L'Oreal USA,0.26
347,Clinique,Estee Lauder,0.25
348,M.A.C,Estee Lauder,0.25
349,M.A.C,Estee Lauder,0.24
350,Clinique,Estee Lauder,0.23
351,Lancome,L'Oreal USA,0.23
352,M.A.C,Estee Lauder,0.23
353,Maybelline,L'Oreal USA,0.23
354,NARS,Shiseido,0.23
355,Bobbi Brown,Estee Lauder,0.22
356,Clinique,Estee Lauder,0.22
357,Wet 'n' Wild,Markwins International,0.22
358,Avon,Avon,0.21
359,Clinique,Estee Lauder,0.2
360,Estee Lauder Origins,Estee Lauder,0.2
361,Lancome,L'Oreal USA,0.2
362,Lancome,L'Oreal USA,0.2
363,M.A.C,Estee Lauder,0.2
364,Avon,Avon,0.18
365,Cover Girl,Procter & Gamble,0.18
366,Clinique,Estee Lauder,0.17
367,Lancome,L'Oreal USA,0.17
368,Elizabeth Arden,Elizabeth Arden,0.16
369,L'Oreal,L'Oreal USA,0.16
370,M.A.C,Estee Lauder,0.15
371,M.A.C Dsquared2,Estee Lauder,0.15
372,Stargazer,Stargazer,0.15
373,L'Oreal,L'Oreal USA,0.14
374,Iman Cosmetics,Iman Cosmetics,0.13
375,M.A.C,Estee Lauder,0.13
376,Wet 'n' Wild,Markwins International,0.13
377,Avon,Avon,0.12
378,Bobbi Brown,Estee Lauder,0.12
379,M.A.C,Estee Lauder,0.12
380,M.A.C,Estee Lauder,0.11
381,BeneFit,LVMH Perfums & Cosmetics,0.08
382,L'Oreal,L'Oreal USA,0.08
383,M.A.C,Estee Lauder,0.08
384,M.A.C,Estee Lauder,0.08
385,Clinique,Estee Lauder,0.07
386,Clinique,Estee Lauder,0.07
387,Victoria's Secret,Limited Brands,0.07
388,Bobbi Brown,Estee Lauder,0.06
389,Bobbi Brown,Estee Lauder,0.06
390,Fashion Fair,Johnson Publishing Company,0.06
391,Fashion Fair,Johnson Publishing Company,0.05
392,Iman Cosmetics,Iman Cosmetics,0.05
393,M.A.C,Estee Lauder,0.05
394,Lori Anne,Mood Magic,0.05
395,Estee Lauder,Estee Lauder,0.04
396,M.A.C,Estee Lauder,0.03
397,Lori Anne,Mood Magic,0.03
398,Clinique,Estee Lauder,0.026
399,L'Oreal,L'Oreal USA,0.026
400,Wet'n'Wild,Markwins International,0.026
